2021-04-23 12:33:26,null
2021-04-23 12:43:26,3074
2021-04-23 12:53:27,12204
2021-04-23 13:03:28,20023
2021-04-23 13:13:28,30073
2021-04-23 13:23:29,45406
2021-04-23 13:33:30,53389
2021-04-23 13:43:30,63109
2021-04-23 13:53:31,72953
2021-04-23 14:03:32,86701
2021-04-23 14:13:33,99567
2021-04-23 14:23:34,117416
2021-04-23 14:33:34,125484
2021-04-23 14:43:35,140508
2021-04-23 14:53:36,152282
2021-04-23 15:03:36,155951
2021-04-23 15:13:37,157414
2021-04-23 15:23:37,157414
2021-04-23 15:33:37,166548
2021-04-23 15:43:38,177325
2021-04-23 15:53:39,180163
2021-04-23 16:03:39,180163
2021-04-23 16:13:39,180428
2021-04-23 16:23:39,180805
2021-04-23 16:33:39,180805
2021-04-23 16:43:39,180805
2021-04-23 16:53:39,180805
2021-04-23 17:03:39,180805
2021-04-23 17:13:39,180805
2021-04-23 17:23:39,182439
2021-04-23 17:33:40,193458
2021-04-23 17:43:41,213714
2021-04-23 17:53:42,234178
2021-04-23 18:03:43,244572
2021-04-23 18:13:43,253535
2021-04-23 18:23:44,261440
2021-04-23 18:33:45,273515
2021-04-23 18:43:45,287424
2021-04-23 18:53:46,295633
2021-04-23 19:03:46,304532
2021-04-23 19:13:47,311359
2021-04-23 19:23:48,315172
2021-04-23 19:33:48,334992
2021-04-23 19:43:49,343428
2021-04-23 19:53:50,351218
2021-04-23 20:03:50,362935
2021-04-23 20:13:51,372918
2021-04-23 20:23:52,385990
2021-04-23 20:33:53,399572
2021-04-23 20:43:53,408920
2021-04-23 20:53:54,408920
2021-04-23 21:03:54,408920
2021-04-23 21:13:54,408920
2021-04-23 21:23:54,408920
2021-04-23 21:33:54,408920
2021-04-23 21:43:54,408920
